transaction_id,customer_id,account_number,transaction_date,transaction_type,amount,currency,branch_code,status,risk_score,region,product_code
TXN0000037,CUST2169,ACC558745,2024-10-05,WITHDRAWAL,73480.9,USD,BR672,COMPLETED,81.72,SOUTH,LOAN
TXN0000038,CUST3803,ACC764909,2024-12-12,PAYMENT,32866.74,USD,BR504,COMPLETED,60.3,EAST,CHECKING
TXN0000039,CUST9751,ACC397007,2024-03-16,CREDIT,60977.21,USD,BR264,REVERSED,91.62,WEST,CHECKING
TXN0000040,CUST5010,ACC836197,2024-08-10,CREDIT,-8314.4,GBP,BR152,COMPLETED,42.52,,CREDIT
TXN0000041,CUST3677,ACC750511,2024-12-04,CREDIT,-24302.76,USD,BR831,PENDING,33.46,SOUTH,
TXN0000042,CUST8573,ACC998626,2024-05-16,DEBIT,85033.71,EUR,BR590,COMPLETED,54.08,SOUTH,SAVINGS
TXN0000043,CUST7216,ACC204045,2024-02-17,CREDIT,37404.85,GBP,BR451,COMPLETED,43.93,CENTRAL,SAVINGS
TXN0000044,CUST5422,ACC191876,2024-10-08,DEBIT,497.04,USD,BR317,REVERSED,77.28,SOUTH,CREDIT
TXN0000045,CUST4598,ACC945089,2024-07-14,TRANSFER,-20578.33,USD,BR676,COMPLETED,97.41,EAST,MORTGAGE
TXN0000046,CUST6313,ACC977904,2024-10-20,PAYMENT,76916.15,AUD,BR218,COMPLETED,85.49,WEST,LOAN
TXN0000047,CUST1916,ACC208854,2024-07-12,DEBIT,-21660.76,USD,BR936,PENDING,43.15,WEST,SAVINGS
TXN0000048,CUST4752,ACC193992,2024-06-25,WITHDRAWAL,-44814.65,USD,BR713,PENDING,70.1,CENTRAL,SAVINGS
TXN0000049,CUST1525,ACC781180,2024-07-27,DEBIT,-889.08,USD,BR189,COMPLETED,91.8,EAST,LOAN
TXN0000050,CUST6168,ACC117224,2024-11-18,TRANSFER,-39901.87,USD,BR879,COMPLETED,,NORTH,LOAN
TXN0000051,CUST7572,ACC746195,2024-02-07,CREDIT,-5878.21,EUR,BR775,COMPLETED,7.69,SOUTH,CHECKING
TXN0000052,CUST5386,ACC531257,2024-04-20,PAYMENT,37275.26,EUR,BR901,PENDING,29.88,CENTRAL,SAVINGS
TXN0000053,CUST2084,ACC208711,2024-01-08,TRANSFER,-18774.63,GBP,BR755,COMPLETED,20.5,EAST,CREDIT
TXN0000054,CUST4456,ACC620518,2024-10-14,TRANSFER,53314.68,EUR,BR696,PENDING,0.24,CENTRAL,CHECKING
TXN0000055,CUST6155,ACC886372,2024-09-03,CREDIT,-33539.92,USD,BR294,FAILED,20.45,SOUTH,SAVINGS
TXN0000056,CUST4483,ACC888242,2024-08-06,DEBIT,62148.83,USD,BR662,REVERSED,91.72,SOUTH,CHECKING
TXN0000057,CUST9179,ACC754128,2024-02-20,WITHDRAWAL,88576.01,USD,BR261,COMPLETED,,SOUTH,CHECKING
TXN0000058,CUST7482,ACC671194,2024-12-10,TRANSFER,-35074.67,USD,BR629,PENDING,53.29,SOUTH,CHECKING
TXN0000059,CUST8517,ACC204545,2024-12-17,CREDIT,39497.55,USD,BR800,FAILED,19.02,SOUTH,SAVINGS
TXN0000060,CUST3340,ACC764299,2024-03-15,CREDIT,24682.63,GBP,BR677,COMPLETED,32.08,EAST,LOAN
TXN0000061,CUST5339,ACC565676,2024-04-07,DEBIT,1393.73,USD,BR942,COMPLETED,29.33,EAST,CHECKING
TXN0000062,CUST3287,ACC627812,2024-09-27,CREDIT,50878.66,,BR185,COMPLETED,32.84,WEST,
TXN0000063,CUST5040,ACC709467,2024-06-09,DEBIT,96599.05,USD,BR622,COMPLETED,91.55,CENTRAL,SAVINGS
TXN0000064,CUST9830,ACC945016,2024-10-19,WITHDRAWAL,71003.04,USD,BR960,PENDING,99.79,,SAVINGS
TXN0000065,CUST5304,ACC134220,2024-06-21,TRANSFER,14333.21,GBP,BR838,COMPLETED,52.07,SOUTH,CREDIT
TXN0000066,CUST8019,ACC800144,2024-03-02,DEBIT,10285.42,USD,BR315,COMPLETED,95.89,SOUTH,CREDIT
TXN0000067,CUST7543,ACC403986,2024-05-08,WITHDRAWAL,3322.26,USD,BR840,PENDING,39.0,SOUTH,SAVINGS
TXN0000068,CUST6930,ACC993077,2024-04-08,CREDIT,40810.93,GBP,BR428,,52.17,CENTRAL,CREDIT
TXN0000069,CUST4593,ACC541073,2024-05-16,CREDIT,91417.23,USD,BR113,PENDING,18.69,EAST,LOAN
TXN0000070,CUST3266,ACC322162,2024-07-23,CREDIT,276.19,USD,BR553,COMPLETED,67.93,SOUTH,MORTGAGE
TXN0000071,CUST9348,ACC333705,2024-10-04,PAYMENT,-45434.23,USD,BR341,COMPLETED,11.76,WEST,LOAN
TXN0000072,CUST9085,ACC914617,2024-03-17,TRANSFER,-40267.17,USD,BR737,COMPLETED,59.64,SOUTH,LOAN
TXN0000073,CUST2489,ACC576713,2024-05-03,CREDIT,,USD,BR612,COMPLETED,75.44,SOUTH,CHECKING
TXN0000074,CUST1771,ACC678381,2024-10-27,DEBIT,82435.42,EUR,BR410,PENDING,36.61,EAST,CHECKING
TXN0000075,CUST2796,ACC499591,2024-06-08,TRANSFER,85841.47,USD,BR644,COMPLETED,72.61,WEST,SAVINGS
TXN0000076,CUST3504,ACC220063,2024-09-17,DEBIT,-28899.98,AUD,BR753,REVERSED,59.32,WEST,SAVINGS
TXN0000077,CUST3621,ACC305059,2024-05-19,DEBIT,-10877.77,AUD,BR429,COMPLETED,42.76,NORTH,LOAN
TXN0000078,CUST7916,ACC997940,2024-11-16,TRANSFER,12971.37,USD,BR447,COMPLETED,71.59,WEST,CHECKING
TXN0000079,CUST2040,ACC592384,2024-01-21,CREDIT,55309.37,AUD,BR111,PENDING,93.29,CENTRAL,LOAN
TXN0000080,CUST7304,ACC230485,2024-01-16,DEBIT,76491.71,GBP,BR471,COMPLETED,,,LOAN
TXN0000081,CUST7252,ACC467645,2024-03-25,CREDIT,68026.89,,BR137,COMPLETED,68.07,NORTH,SAVINGS
TXN0000082,CUST8668,ACC932308,2024-09-01,CREDIT,19918.28,USD,BR500,COMPLETED,6.9,CENTRAL,CHECKING
TXN0000083,CUST9669,ACC586483,2024-04-24,DEBIT,94081.06,GBP,BR621,COMPLETED,92.12,WEST,SAVINGS
TXN0000084,CUST5119,ACC532993,2024-01-01,DEBIT,-44069.24,USD,BR221,COMPLETED,72.68,WEST,LOAN
TXN0000085,CUST1188,ACC960270,2024-01-04,CREDIT,56405.51,USD,BR454,COMPLETED,50.96,SOUTH,CHECKING
TXN0000086,CUST2876,ACC776184,2024-12-07,CREDIT,82527.96,EUR,BR196,COMPLETED,50.89,NORTH,CHECKING
TXN0000087,CUST9797,ACC838024,2024-09-20,CREDIT,73908.87,USD,BR801,COMPLETED,71.52,SOUTH,CHECKING
TXN0000088,CUST5371,ACC922749,2024-08-10,TRANSFER,-24126.63,EUR,BR188,PENDING,98.31,WEST,LOAN
TXN0000089,CUST6573,ACC877155,2024-11-03,DEBIT,44995.14,USD,BR371,COMPLETED,36.21,EAST,MORTGAGE
TXN0000090,CUST2827,ACC515035,2024-07-19,DEBIT,31748.88,USD,BR524,COMPLETED,82.68,SOUTH,SAVINGS
TXN0000091,CUST5808,ACC107974,2024-07-18,TRANSFER,-29010.86,EUR,BR236,COMPLETED,18.3,NORTH,CHECKING
TXN0000092,CUST8123,ACC492842,2024-02-02,WITHDRAWAL,-37973.25,USD,BR571,COMPLETED,63.03,WEST,SAVINGS
TXN0000093,CUST3591,ACC920192,2024-01-29,DEBIT,-40530.76,USD,BR614,COMPLETED,15.6,WEST,LOAN
TXN0000094,CUST8433,ACC334814,2024-02-29,TRANSFER,68867.78,USD,BR441,COMPLETED,58.27,CENTRAL,MORTGAGE
TXN0000095,CUST1053,ACC632216,2024-07-17,WITHDRAWAL,28949.21,GBP,BR504,PENDING,76.4,WEST,SAVINGS
TXN0000096,CUST5315,ACC397380,2024-09-14,DEBIT,43313.14,USD,BR888,,73.82,SOUTH,SAVINGS
TXN0000097,CUST9201,ACC380608,2024-04-13,DEBIT,58821.97,USD,BR749,COMPLETED,63.0,NORTH,CHECKING
TXN0000098,CUST3927,ACC790677,2024-02-08,DEBIT,62517.51,USD,BR516,COMPLETED,97.4,NORTH,CHECKING
TXN0000099,CUST9317,ACC377347,2024-02-11,DEBIT,2995.72,USD,BR264,COMPLETED,53.86,EAST,CHECKING
TXN0000100,CUST2743,ACC422328,2024-12-08,WITHDRAWAL,79107.91,USD,BR173,COMPLETED,34.63,WEST,CHECKING
TXN0000101,CUST5889,ACC979214,2024-04-08,PAYMENT,51211.83,USD,BR580,COMPLETED,4.29,WEST,SAVINGS
TXN0000102,CUST9317,ACC933762,2024-11-09,CREDIT,61258.54,USD,BR823,COMPLETED,22.41,WEST,CHECKING
TXN0000103,CUST4258,ACC534861,2024-06-20,TRANSFER,77741.37,USD,BR871,COMPLETED,7.64,WEST,LOAN
TXN0000104,CUST3504,ACC806007,2024-01-14,DEBIT,-1976.4,GBP,BR502,COMPLETED,81.78,SOUTH,SAVINGS
TXN0000105,CUST7126,ACC353288,2024-01-25,DEBIT,-29145.81,AUD,BR265,COMPLETED,89.69,EAST,CREDIT
TXN0000106,CUST3646,ACC104359,2024-02-03,DEBIT,73165.47,GBP,BR791,FAILED,,,MORTGAGE
TXN0000107,CUST9837,ACC534694,2024-07-11,WITHDRAWAL,-39409.09,GBP,BR573,COMPLETED,28.7,WEST,SAVINGS
TXN0000108,CUST9689,ACC134261,2024-09-27,PAYMENT,-25815.29,,BR996,COMPLETED,79.5,CENTRAL,LOAN
TXN0000109,CUST1009,ACC116284,2024-01-29,CREDIT,62380.67,AUD,BR832,,14.85,EAST,CREDIT
TXN0000110,CUST6310,ACC127521,2024-11-09,TRANSFER,92198.62,AUD,BR281,COMPLETED,79.52,NORTH,SAVINGS
TXN0000111,CUST9005,ACC260825,2024-11-27,CREDIT,13466.74,AUD,BR417,PENDING,,NORTH,CHECKING
TXN0000112,CUST1319,ACC928909,2024-05-22,CREDIT,63613.01,USD,BR335,PENDING,61.45,WEST,SAVINGS
TXN0000113,CUST2832,ACC492592,2024-02-11,DEBIT,24706.57,USD,BR937,COMPLETED,55.8,WEST,MORTGAGE
TXN0000114,CUST6947,ACC981610,2024-05-30,TRANSFER,72511.4,AUD,BR617,COMPLETED,82.67,SOUTH,LOAN
TXN0000115,CUST6038,ACC956379,2024-11-18,CREDIT,-39450.46,USD,BR948,FAILED,20.9,NORTH,SAVINGS
TXN0000116,CUST4923,ACC644172,2024-11-06,DEBIT,-4128.02,GBP,BR226,COMPLETED,60.56,EAST,SAVINGS
TXN0000117,CUST1949,ACC959868,2024-02-07,PAYMENT,76189.4,USD,BR412,COMPLETED,63.98,SOUTH,CHECKING
TXN0000118,CUST4946,ACC877252,2024-06-13,CREDIT,-19123.33,USD,BR375,FAILED,54.36,CENTRAL,CREDIT
TXN0000119,CUST2290,ACC729088,2024-01-28,DEBIT,98579.85,USD,BR992,COMPLETED,13.55,NORTH,LOAN
TXN0000120,CUST2403,ACC432892,2024-08-20,DEBIT,-34226.72,USD,BR471,COMPLETED,15.74,NORTH,SAVINGS
TXN0000121,CUST8962,ACC451367,2024-07-27,CREDIT,-47577.67,USD,BR519,COMPLETED,79.24,EAST,LOAN
TXN0000122,CUST2133,ACC278688,2024-03-31,WITHDRAWAL,30255.86,USD,BR989,COMPLETED,10.95,EAST,LOAN
TXN0000123,CUST9727,ACC699982,2024-11-18,DEBIT,10412.49,EUR,BR945,REVERSED,96.11,,CHECKING
TXN0000124,CUST3060,ACC550908,2024-09-24,TRANSFER,96098.36,USD,BR459,PENDING,84.26,WEST,SAVINGS
TXN0000125,CUST3103,ACC353578,2024-04-10,CREDIT,-41924.27,,BR185,COMPLETED,78.96,SOUTH,SAVINGS
TXN0000126,CUST8787,ACC682735,2024-10-25,DEBIT,14797.71,GBP,BR826,COMPLETED,94.71,SOUTH,LOAN
TXN0000127,CUST3705,ACC510373,2024-08-14,TRANSFER,65027.23,USD,BR966,COMPLETED,40.72,NORTH,LOAN
TXN0000128,CUST5342,ACC302019,2024-11-24,WITHDRAWAL,67220.44,USD,BR979,COMPLETED,46.49,NORTH,SAVINGS
TXN0000129,CUST9645,ACC746203,2024-07-29,WITHDRAWAL,37219.8,USD,BR374,COMPLETED,1.46,NORTH,CREDIT
TXN0000130,CUST7932,ACC775738,2024-11-17,TRANSFER,-11087.62,GBP,BR706,COMPLETED,43.54,SOUTH,SAVINGS
TXN0000131,CUST4470,ACC512423,2024-03-14,CREDIT,74578.63,GBP,BR716,COMPLETED,55.72,CENTRAL,CHECKING
TXN0000132,,ACC968797,2024-01-26,CREDIT,-45987.34,USD,BR563,COMPLETED,59.99,SOUTH,
TXN0000133,CUST4295,ACC154086,2024-07-07,WITHDRAWAL,72105.85,USD,BR451,COMPLETED,19.38,CENTRAL,SAVINGS
TXN0000134,CUST6107,ACC940257,2024-04-22,DEBIT,29882.07,USD,BR308,REVERSED,81.76,EAST,LOAN
TXN0000135,CUST7537,ACC705923,2024-11-22,WITHDRAWAL,26414.7,USD,BR765,COMPLETED,89.43,SOUTH,CREDIT
TXN0000136,CUST7118,ACC549946,2024-05-23,TRANSFER,-47193.13,AUD,BR135,COMPLETED,91.72,EAST,LOAN
TXN0000137,CUST8177,ACC235130,2024-05-18,DEBIT,55747.63,USD,BR171,COMPLETED,46.81,NORTH,CHECKING
TXN0000138,CUST9479,ACC767181,2024-01-09,DEBIT,,USD,BR403,PENDING,79.25,EAST,CHECKING
TXN0000139,CUST8397,ACC509376,2024-09-10,DEBIT,92775.26,USD,BR365,FAILED,53.15,CENTRAL,SAVINGS
TXN0000140,CUST2982,ACC863481,2024-08-13,PAYMENT,57289.5,USD,BR494,REVERSED,49.45,NORTH,SAVINGS
TXN0000141,CUST5061,ACC282155,2024-08-14,CREDIT,51626.54,USD,BR867,COMPLETED,1.69,CENTRAL,CREDIT
TXN0000142,CUST4681,ACC522700,2024-11-02,PAYMENT,87654.29,USD,BR317,PENDING,10.08,EAST,LOAN
TXN0000143,CUST2049,ACC433578,2024-05-24,DEBIT,-30651.62,EUR,BR349,COMPLETED,28.94,EAST,MORTGAGE
TXN0000144,CUST6539,ACC642404,2024-07-19,DEBIT,25119.97,EUR,BR657,PENDING,6.1,EAST,MORTGAGE
TXN0000145,CUST1344,ACC266140,2024-03-24,CREDIT,-4317.27,GBP,BR367,COMPLETED,34.21,SOUTH,SAVINGS
TXN0000146,CUST4770,ACC558648,2024-01-30,TRANSFER,55963.29,USD,BR429,COMPLETED,51.59,SOUTH,CREDIT
TXN0000147,CUST4608,ACC342189,2024-12-31,WITHDRAWAL,-46439.65,GBP,BR432,COMPLETED,32.4,WEST,MORTGAGE
TXN0000148,CUST1117,ACC204415,2024-08-17,DEBIT,-36913.42,USD,BR390,COMPLETED,97.62,CENTRAL,CHECKING
TXN0000149,CUST2163,ACC844515,2024-03-12,WITHDRAWAL,-43168.82,USD,BR441,COMPLETED,2.22,EAST,SAVINGS
TXN0000150,CUST1964,ACC940089,2024-07-25,CREDIT,27669.38,AUD,BR918,COMPLETED,81.01,WEST,CHECKING
TXN0000151,CUST4750,ACC232466,2024-07-29,WITHDRAWAL,95877.26,USD,BR103,COMPLETED,45.27,NORTH,CREDIT
TXN0000152,CUST2104,ACC628751,2024-12-09,TRANSFER,-40597.83,EUR,BR191,PENDING,93.1,NORTH,CHECKING
TXN0000153,CUST1514,ACC224122,2024-03-07,PAYMENT,45161.1,AUD,BR228,PENDING,4.22,CENTRAL,MORTGAGE
TXN0000154,CUST6413,ACC762113,2024-11-01,CREDIT,20587.31,EUR,BR771,COMPLETED,64.01,CENTRAL,LOAN
TXN0000155,CUST2160,ACC704958,2024-03-11,PAYMENT,16842.26,EUR,BR245,COMPLETED,68.09,CENTRAL,LOAN
TXN0000156,CUST9423,ACC922378,2024-06-25,WITHDRAWAL,68881.09,EUR,BR243,COMPLETED,0.02,EAST,LOAN
TXN0000157,CUST4899,ACC511054,2024-01-10,CREDIT,-21265.99,USD,BR175,FAILED,41.75,EAST,CREDIT
TXN0000158,CUST5562,ACC983981,2024-10-11,PAYMENT,63923.24,USD,BR731,COMPLETED,83.72,EAST,SAVINGS
TXN0000159,CUST8953,ACC899195,2024-02-17,CREDIT,-7767.67,EUR,BR803,COMPLETED,54.31,CENTRAL,CHECKING
TXN0000160,CUST4510,ACC757790,2024-09-08,TRANSFER,40987.35,GBP,BR918,COMPLETED,6.08,NORTH,CREDIT
TXN0000161,CUST9834,ACC372871,2024-11-16,WITHDRAWAL,21737.09,USD,BR633,COMPLETED,93.48,NORTH,CREDIT
TXN0000162,CUST3167,ACC978012,2024-08-30,CREDIT,87214.11,EUR,BR762,COMPLETED,72.04,WEST,CREDIT
TXN0000163,CUST8744,ACC679763,2024-07-15,DEBIT,-48388.25,USD,BR614,PENDING,6.91,WEST,
TXN0000164,CUST4981,ACC266779,2024-01-25,CREDIT,49710.98,USD,BR404,PENDING,35.31,CENTRAL,CREDIT
TXN0000165,CUST8749,ACC438065,2024-03-23,PAYMENT,94396.79,EUR,BR673,COMPLETED,7.09,EAST,SAVINGS
TXN0000166,CUST7669,ACC313660,2024-10-16,CREDIT,-7984.36,USD,BR202,FAILED,88.34,NORTH,SAVINGS
TXN0000167,CUST4119,ACC197784,2024-12-24,DEBIT,46634.08,EUR,BR309,COMPLETED,74.56,CENTRAL,SAVINGS
TXN0000168,CUST2545,ACC197795,2024-11-04,DEBIT,49643.74,EUR,BR180,COMPLETED,28.89,NORTH,MORTGAGE
TXN0000169,CUST2588,ACC126885,2024-02-04,CREDIT,-11628.08,EUR,BR231,FAILED,53.77,SOUTH,LOAN
TXN0000170,CUST8062,ACC558669,2024-05-14,DEBIT,58635.52,AUD,BR154,FAILED,80.85,NORTH,CHECKING
TXN0000171,CUST6804,ACC112098,2024-01-12,DEBIT,-3981.97,EUR,BR466,PENDING,17.34,NORTH,CREDIT
TXN0000172,CUST7939,ACC759443,2024-07-22,TRANSFER,-30543.61,EUR,BR997,COMPLETED,87.4,CENTRAL,SAVINGS
TXN0000173,,ACC907437,2024-09-25,CREDIT,-43491.85,USD,BR721,COMPLETED,,SOUTH,CHECKING
TXN0000174,CUST8651,ACC722107,2024-12-11,PAYMENT,4183.49,USD,BR350,COMPLETED,93.42,CENTRAL,SAVINGS
TXN0000175,,ACC260483,2024-09-30,DEBIT,80618.29,EUR,BR157,COMPLETED,17.06,CENTRAL,CHECKING
TXN0000176,CUST2612,ACC129169,2024-05-14,DEBIT,70718.44,USD,BR666,COMPLETED,2.97,CENTRAL,CHECKING
TXN0000177,CUST1993,ACC748124,2024-02-04,DEBIT,-5865.68,USD,BR687,PENDING,7.9,CENTRAL,SAVINGS
TXN0000178,CUST7596,ACC841947,2024-04-09,CREDIT,9264.74,USD,BR632,PENDING,92.46,NORTH,CHECKING
TXN0000179,CUST6559,ACC670081,2024-04-11,DEBIT,-40154.63,USD,BR732,COMPLETED,56.41,EAST,CHECKING
TXN0000180,CUST2790,ACC182598,2024-04-13,CREDIT,44350.93,USD,BR829,COMPLETED,,EAST,CHECKING
TXN0000181,CUST5073,ACC699569,2024-08-20,CREDIT,-33421.23,USD,BR339,COMPLETED,46.61,NORTH,LOAN
TXN0000182,CUST4139,ACC500980,2024-04-28,CREDIT,-31706.19,EUR,BR124,COMPLETED,1.14,SOUTH,CHECKING
TXN0000183,CUST4116,ACC126518,2024-02-15,CREDIT,434.22,EUR,BR679,COMPLETED,18.34,NORTH,LOAN
TXN0000184,CUST9786,ACC878399,2024-03-08,PAYMENT,93.71,AUD,BR818,COMPLETED,83.88,CENTRAL,CHECKING
TXN0000185,CUST8350,ACC869832,2024-06-09,CREDIT,61779.8,USD,BR255,COMPLETED,93.72,SOUTH,LOAN
TXN0000186,CUST3296,ACC236889,2024-07-02,DEBIT,35683.7,EUR,BR769,PENDING,33.31,SOUTH,CREDIT
TXN0000187,CUST7912,ACC575745,2024-03-28,DEBIT,-30026.3,GBP,BR289,COMPLETED,68.57,CENTRAL,LOAN
TXN0000188,CUST4006,ACC765282,2024-04-13,DEBIT,58112.75,USD,BR255,FAILED,64.5,NORTH,SAVINGS
TXN0000189,CUST5563,ACC762177,2024-06-25,PAYMENT,63975.89,EUR,BR829,COMPLETED,60.01,CENTRAL,SAVINGS
TXN0000190,CUST8579,ACC915361,2024-07-24,CREDIT,99775.97,EUR,BR140,COMPLETED,84.71,EAST,CREDIT
TXN0000191,CUST5092,ACC475517,2024-02-25,PAYMENT,52694.88,USD,BR268,REVERSED,22.11,CENTRAL,LOAN
TXN0000192,CUST2235,ACC295617,2024-08-27,PAYMENT,-30814.52,USD,BR834,COMPLETED,70.07,SOUTH,CREDIT
TXN0000193,CUST8260,ACC351366,2024-10-05,CREDIT,-15196.79,EUR,BR416,COMPLETED,48.48,EAST,CREDIT
TXN0000194,CUST2604,ACC784219,2024-02-10,DEBIT,94014.5,EUR,BR998,COMPLETED,72.65,WEST,LOAN
TXN0000195,CUST1828,ACC332527,2024-08-25,DEBIT,13489.48,USD,BR170,COMPLETED,41.95,EAST,LOAN
TXN0000196,CUST9856,ACC411345,2024-01-06,CREDIT,79093.78,AUD,BR928,COMPLETED,35.88,CENTRAL,CREDIT
TXN0000197,CUST1241,ACC303244,2024-04-14,CREDIT,53867.33,AUD,BR611,COMPLETED,89.59,,CREDIT
TXN0000198,CUST2528,ACC661425,2024-03-25,DEBIT,-30428.47,USD,BR536,FAILED,20.57,NORTH,CREDIT
TXN0000199,CUST4872,ACC981282,2024-12-13,TRANSFER,-37237.04,USD,BR517,COMPLETED,79.42,CENTRAL,SAVINGS
TXN0000200,CUST3724,ACC357167,2024-02-22,DEBIT,6665.93,EUR,BR901,COMPLETED,24.63,WEST,SAVINGS
TXN0000201,CUST7658,ACC861593,2024-02-10,PAYMENT,67165.57,USD,BR706,COMPLETED,9.55,SOUTH,MORTGAGE
TXN0000202,CUST8956,ACC917919,2024-11-04,DEBIT,56615.93,USD,BR549,COMPLETED,32.53,WEST,CHECKING
TXN0000203,CUST8886,ACC946302,2024-03-24,DEBIT,70110.62,EUR,BR146,COMPLETED,15.88,SOUTH,SAVINGS
TXN0000204,CUST4502,ACC924231,2024-01-01,DEBIT,39986.49,USD,BR939,REVERSED,8.56,EAST,LOAN
TXN0000205,CUST7570,ACC496473,2024-07-13,DEBIT,63775.68,USD,BR917,PENDING,53.59,SOUTH,LOAN
TXN0000206,CUST1960,ACC907814,2024-02-27,CREDIT,91141.55,GBP,BR937,REVERSED,10.99,EAST,SAVINGS
TXN0000207,CUST3697,ACC373132,2024-04-22,CREDIT,33147.35,AUD,BR796,PENDING,68.35,NORTH,CHECKING
TXN0000208,CUST7209,ACC791281,2024-08-04,TRANSFER,57297.15,USD,BR513,COMPLETED,26.86,WEST,MORTGAGE
